StudentID,SessionMinute,SimulatedTimeSec,ScenarioTemplate,Class,SimulationScenario,AF3 delta m,AF3 delta std,F7 delta m,F7 delta std,F3 delta m,F3 delta std,FC5 delta m,FC5 delta std,T7 delta m,T7 delta std,P7 delta m,P7 delta std,O1 delta m,O1 delta std,O2 delta m,O2 delta std,P8 delta m,P8 delta std,T8 delta m,T8 delta std,FC6 delta m,FC6 delta std,F4 delta m,F4 delta std,F8 delta m,F8 delta std,AF4 delta m,AF4 delta std,AF3 theta m,AF3 theta std,F7 theta m,F7 theta std,F3 theta m,F3 theta std,FC5 theta m,FC5 theta std,T7 theta m,T7 theta std,P7 theta m,P7 theta std,O1 theta m,O1 theta std,O2 theta m,O2 theta std,P8 theta m,P8 theta std,T8 theta m,T8 theta std,FC6 theta m,FC6 theta std,F4 theta m,F4 theta std,F8 theta m,F8 theta std,AF4 theta m,AF4 theta std,AF3 alpha m,AF3 alpha std,F7 alpha m,F7 alpha std,F3 alpha m,F3 alpha std,FC5 alpha m,FC5 alpha std,T7 alpha m,T7 alpha std,P7 alpha m,P7 alpha std,O1 alpha m,O1 alpha std,O2 alpha m,O2 alpha std,P8 alpha m,P8 alpha std,T8 alpha m,T8 alpha std,FC6 alpha m,FC6 alpha std,F4 alpha m,F4 alpha std,F8 alpha m,F8 alpha std,AF4 alpha m,AF4 alpha std,AF3 beta m,AF3 beta std,F7 beta m,F7 beta std,F3 beta m,F3 beta std,FC5 beta m,FC5 beta std,T7 beta m,T7 beta std,P7 beta m,P7 beta std,O1 beta m,O1 beta std,O2 beta m,O2 beta std,P8 beta m,P8 beta std,T8 beta m,T8 beta std,FC6 beta m,FC6 beta std,F4 beta m,F4 beta std,F8 beta m,F8 beta std,AF4 beta m,AF4 beta std
1,1,0,fatigue_profile,medium_attention,medium_attention,2481.713996,55.421526,2455.395980,56.453246,2420.688779,82.784003,2467.656512,60.573843,2482.781642,57.116551,2478.203708,43.587365,2493.632760,68.918241,2430.019268,59.777162,2413.705482,76.020346,2469.360401,61.245473,2541.186992,62.013093,2529.686135,63.654956,2460.426054,52.382805,2475.399916,37.987540,13.949588,0.459595,14.120905,0.262547,14.514646,0.277744,13.821789,0.323424,14.462380,0.422848,14.207172,0.467741,14.243516,0.494833,14.292132,0.386770,14.205514,0.342322,13.944913,0.338063,14.462127,0.395751,14.332672,0.403747,14.476053,0.408014,14.321399,0.469317,22.977502,0.534630,22.970864,0.468453,23.674421,0.690329,22.846542,0.684873,22.678193,0.475087,22.286792,0.707964,23.352186,0.586131,22.922861,0.613412,23.227319,0.716112,23.287977,0.709137,22.985141,0.519212,22.460253,0.620437,23.588971,0.559711,22.417850,0.563665,41.186691,1.235319,40.390250,0.997677,41.037564,1.291886,39.774985,1.110808,40.788908,1.081849,40.274510,1.106346,39.879775,1.203737,39.274893,0.854010,39.096295,1.335788,40.614582,0.992924,41.186912,1.096695,40.234708,1.037515,40.075441,1.047310,39.465546,0.964795
1,2,60,fatigue_profile,medium_attention,medium_attention,2440.646053,76.520424,2427.824935,63.736465,2432.715124,65.408418,2411.006727,43.209367,2435.166455,66.333469,2429.955628,50.738770,2476.246605,64.215414,2441.207205,89.732422,2384.026506,58.391896,2411.718172,63.809493,2540.316185,74.693421,2482.876383,64.237318,2404.072797,61.935233,2417.776244,71.041169,14.046773,0.361518,14.263305,0.443684,14.443285,0.323989,13.932040,0.265283,14.467025,0.290700,14.213124,0.316856,14.132767,0.386751,14.159695,0.362073,14.329198,0.361510,13.807818,0.408967,14.286380,0.398599,14.156015,0.442983,14.563671,0.346499,14.206654,0.414853,22.960247,0.710129,22.358555,0.452201,23.503468,0.616909,22.966186,0.545069,22.646105,0.500007,22.296208,0.511656,23.032894,0.519606,23.244583,0.539544,23.171846,0.588083,22.948911,0.506633,22.951428,0.553671,22.550743,0.641188,23.479811,0.498397,22.410817,0.558039,41.830849,1.227773,40.624525,1.042474,41.514432,0.967528,40.411429,1.097473,40.484609,0.996488,40.858290,1.022503,40.478138,0.921598,39.202525,0.891261,39.284848,1.144446,41.207460,1.098527,42.015682,0.905216,40.929689,0.941872,40.625237,1.028790,40.549763,0.871649
1,3,120,fatigue_profile,medium_attention,medium_attention,2449.989597,72.836803,2502.890868,64.168229,2436.422248,80.306563,2427.162352,66.942899,2461.927063,47.248527,2439.340006,63.270134,2495.484264,58.154867,2434.787323,56.408006,2431.927136,62.350267,2463.651877,68.916720,2525.133949,61.447219,2516.845080,70.928329,2390.271730,68.925014,2467.048829,57.532442,13.805538,0.398200,14.261034,0.315393,14.443824,0.265081,13.912457,0.349042,14.626968,0.444755,14.082137,0.437904,14.311952,0.410686,14.107273,0.358474,14.387926,0.303699,13.655668,0.349563,14.276089,0.302691,14.363540,0.385443,14.727175,0.311318,14.301985,0.294881,22.885137,0.574685,22.475399,0.586901,23.300977,0.841676,23.127439,0.585475,22.459164,0.543806,22.046169,0.425327,23.180982,0.552156,22.919172,0.520431,23.208503,0.573774,22.718200,0.584010,22.712363,0.575701,22.443131,0.737126,23.459864,0.649509,22.529166,0.533902,41.876526,0.891696,40.677577,1.023612,41.032609,1.243494,40.545747,0.516481,40.691974,0.596700,40.563286,0.939811,40.221596,0.847396,38.983481,0.989769,38.465811,0.891491,40.771477,1.050017,41.324241,0.767583,40.657807,0.939882,39.541764,1.074663,40.047796,1.000312
1,4,180,fatigue_profile,medium_attention,medium_attention,2429.292791,51.696695,2466.034700,55.321020,2436.580271,55.134119,2429.101003,64.971166,2436.697018,55.788545,2420.475817,61.001015,2450.482077,51.434387,2417.234256,69.263168,2349.060626,67.968925,2433.929291,54.490284,2498.751788,62.402683,2490.418198,59.399424,2392.423545,46.422131,2452.026338,67.551904,14.375703,0.268627,14.616347,0.312562,14.672328,0.409906,14.247749,0.334635,14.958988,0.331074,14.729295,0.231889,14.483840,0.350018,14.720970,0.307768,14.822787,0.468534,14.327205,0.454584,14.739200,0.398003,14.352717,0.213538,15.145626,0.476606,14.716462,0.351552,23.532220,0.551340,22.688817,0.524032,24.151663,0.606240,23.271294,0.471963,22.997765,0.615815,22.521277,0.644045,23.628543,0.692333,23.219305,0.532850,23.740275,0.608038,23.167882,0.455582,23.274164,0.427344,23.118655,0.688355,23.837783,0.626419,22.888344,0.645240,41.145249,1.305706,39.946912,1.071052,40.985703,0.915697,40.093502,0.908677,39.870695,1.020608,40.105144,1.210638,40.238005,0.810080,39.012025,0.655660,38.481910,0.994594,40.841490,0.943882,40.657650,1.155350,40.302569,0.957910,39.888198,0.841655,39.401159,1.300477
1,5,240,fatigue_profile,low_attention,low_attention,2471.667170,67.470134,2458.351991,52.582077,2422.924075,59.915316,2419.952595,53.472193,2437.281174,50.792724,2423.970897,51.587071,2443.974598,56.207154,2436.243841,64.335937,2396.047969,46.562558,2415.115727,56.261252,2495.467650,78.947517,2517.117008,65.970558,2412.005970,50.432919,2457.719780,67.510981,14.631159,0.301777,15.159651,0.424338,15.375581,0.388533,14.573158,0.349305,15.663384,0.343622,15.041496,0.471018,15.017978,0.440987,15.082763,0.366998,15.317576,0.358169,14.748626,0.413624,15.325478,0.409494,15.212462,0.405035,15.693744,0.319212,15.033559,0.377481,23.683620,0.597835,23.123634,0.441009,24.357795,0.511708,23.305818,0.683901,23.376007,0.600619,22.837056,0.682833,24.533881,0.740865,23.907975,0.799310,23.849667,0.717288,23.756470,0.616313,23.360649,0.623600,23.401029,0.643075,24.179355,0.756424,23.531458,0.679925,40.939611,0.776500,39.748097,0.946873,40.559719,0.514885,39.984017,0.983649,40.093241,1.168090,40.208960,0.987583,39.924795,1.046331,38.454205,0.882147,38.650693,1.145242,40.515357,1.036732,41.114700,1.286412,39.850398,0.994316,40.095777,0.947475,39.258582,1.286316
1,6,300,fatigue_profile,low_attention,low_attention,2483.134480,63.848603,2476.087906,57.153913,2470.602068,82.714202,2465.646014,55.889824,2443.469930,49.045158,2433.265626,47.586197,2507.175590,58.942531,2452.903823,52.333251,2393.234317,49.073537,2481.644287,41.536560,2543.060180,77.990943,2508.028452,61.987816,2405.379829,59.780150,2479.461390,63.555696,15.453162,0.433574,15.869273,0.371620,16.254758,0.356295,15.492772,0.343950,16.311167,0.419535,15.860235,0.377283,15.687311,0.487563,15.774966,0.446757,15.823074,0.362137,15.123901,0.248705,15.844795,0.392473,15.556690,0.357329,16.182473,0.335253,15.870723,0.426199,23.835273,0.569610,23.184816,0.642039,24.752992,0.645495,23.990689,0.692592,23.926740,0.611214,23.266384,0.471835,24.755239,0.524575,24.079934,0.525641,23.816274,0.665791,23.826258,0.609002,23.694075,0.516870,23.679110,0.583748,24.110239,0.508607,23.530929,0.686855,41.427770,1.045988,39.965918,1.356499,40.269355,1.221811,39.819228,1.272783,40.285849,1.460889,39.822574,1.063031,39.746150,1.047471,38.861953,0.841855,38.214253,0.936544,40.622212,0.953382,41.121725,1.085209,40.031507,1.077230,39.755991,0.973482,39.842752,1.013019
1,7,360,fatigue_profile,low_attention,low_attention,2501.678806,60.486665,2481.305080,50.455469,2479.451016,50.242109,2477.233085,61.192412,2465.608368,69.544371,2464.134485,65.095422,2513.572322,67.727479,2450.449935,51.970518,2451.572481,50.055227,2472.572368,72.997216,2524.555879,39.029690,2542.630931,43.162300,2456.482928,53.278587,2473.171815,70.979236,16.400968,0.440149,16.594038,0.456007,16.811407,0.466746,16.366327,0.350055,16.862695,0.457038,16.396355,0.363166,16.586543,0.421763,16.577355,0.317411,16.684277,0.376018,15.961028,0.296152,16.710787,0.369904,16.482967,0.343214,16.920588,0.378232,16.880394,0.448366,24.878467,0.553439,24.441337,0.700344,25.575449,0.638311,24.846254,0.760155,24.858969,0.762970,24.460384,0.501778,25.560311,0.531438,25.267780,0.537129,25.304228,0.676693,24.890895,0.511120,24.894074,0.617928,24.514290,0.684109,25.006572,0.728434,24.741613,0.599517,40.029725,0.975418,38.503507,0.918120,39.788925,0.814037,39.417760,1.014304,39.339098,0.857545,39.437529,0.902369,38.978327,0.819398,38.182398,0.787451,37.309262,0.997481,39.387338,1.013166,40.302132,1.210335,39.322953,0.870939,38.960028,0.977606,38.533996,0.897994
1,8,420,fatigue_profile,low_attention,low_attention,2519.014976,65.099282,2453.016448,73.940922,2433.731022,58.623798,2448.121267,72.738284,2469.647081,69.307236,2432.911354,66.866602,2515.705898,69.345995,2479.869605,53.280399,2434.134995,71.456043,2466.255595,61.816151,2530.062303,67.696792,2504.379863,65.842774,2414.605525,63.240428,2488.746695,69.233918,17.376611,0.481622,18.036460,0.359613,17.973701,0.639798,17.540618,0.325445,18.109053,0.446565,17.821716,0.559002,17.770153,0.338430,17.847041,0.433167,17.963629,0.451243,16.956186,0.456195,18.014009,0.335801,18.026096,0.317447,18.462059,0.407803,18.389039,0.493514,26.186646,0.489450,25.548394,0.546154,26.431665,0.662641,25.691415,0.590248,26.167756,0.710238,25.261582,0.501338,26.406260,0.817510,26.438697,0.759074,26.282656,0.849222,25.598776,0.690823,25.661855,0.422696,25.591074,0.704293,26.322775,0.682379,25.852579,0.726348,40.535053,1.001635,38.796489,1.187960,39.595973,1.010698,39.253813,0.994194,39.890568,0.946441,38.982782,0.936255,39.544787,0.860271,38.009151,0.995335,37.330910,0.770552,39.890570,0.998476,40.170655,0.766784,39.250925,0.739023,38.325761,0.819415,38.440817,0.991137
1,9,480,fatigue_profile,low_attention,low_attention,2526.047737,57.580713,2476.659440,71.540291,2493.240907,57.807503,2459.565983,59.251801,2518.530649,75.304944,2468.271083,69.233891,2517.788119,52.386521,2468.921911,51.786523,2436.890941,63.892916,2461.496991,52.223529,2570.720219,61.330612,2561.163738,57.920940,2451.879251,61.643879,2505.439939,63.029971,18.730388,0.331733,18.989769,0.428098,19.185939,0.411156,18.629361,0.302252,19.276827,0.429453,18.657338,0.467907,18.929904,0.397252,19.060971,0.430956,19.095506,0.602186,18.326069,0.459433,18.843884,0.595619,19.106833,0.556031,19.446432,0.501282,18.970748,0.533831,26.852628,0.689728,26.184798,0.665512,27.138692,0.633290,26.510030,0.709066,26.907525,0.404193,25.948161,0.917196,27.291419,0.750179,26.726174,0.717385,26.954221,0.461082,26.699774,0.764725,26.342212,0.782962,26.284259,0.656513,27.313296,0.607707,26.676015,0.722580,39.800952,0.952034,38.017433,0.708376,38.954990,1.010865,38.691692,0.659381,38.633743,1.022828,38.632813,0.972845,38.756004,0.886567,37.281328,0.808795,36.901788,0.955961,38.514192,1.040460,39.266172,1.186646,38.689664,0.942244,37.944704,0.932364,38.223877,0.819894
1,10,540,fatigue_profile,low_attention,low_attention,2498.589167,51.707974,2466.700426,59.568428,2481.865037,56.055282,2471.596740,61.553573,2449.797620,57.548449,2471.380621,54.655022,2519.331628,74.523394,2455.485766,63.368442,2426.182204,64.189392,2451.021498,66.962824,2506.913990,50.294898,2514.820509,61.099122,2444.224240,66.249959,2475.318369,57.564040,19.467786,0.469754,20.028110,0.485925,20.217057,0.528549,19.349131,0.521167,20.561402,0.531720,19.741123,0.541290,19.803444,0.549162,19.896542,0.562323,20.204003,0.406532,19.018294,0.534339,20.187172,0.542299,19.948058,0.638856,20.555509,0.582601,20.041513,0.515543,27.721111,0.599429,27.213228,0.627102,28.201630,0.696514,27.480129,0.467376,27.940220,0.522189,26.641562,0.442194,28.329968,0.579956,28.107004,0.588697,28.245417,0.601004,27.525695,0.768137,27.425472,0.721081,27.253365,0.654296,28.008674,0.778054,27.286328,0.811015,39.306655,1.010208,38.417013,0.906797,39.881142,0.730474,38.184126,1.021242,37.898956,1.021649,39.047646,1.038236,38.287281,0.775161,37.296738,0.653831,36.899843,0.839377,38.574275,1.087491,38.859696,1.050812,38.476551,0.868052,37.998482,0.697911,37.875004,0.927511
