StudentID,SessionMinute,SimulatedTimeSec,ScenarioTemplate,Class,SimulationScenario,AF3 delta m,AF3 delta std,F7 delta m,F7 delta std,F3 delta m,F3 delta std,FC5 delta m,FC5 delta std,T7 delta m,T7 delta std,P7 delta m,P7 delta std,O1 delta m,O1 delta std,O2 delta m,O2 delta std,P8 delta m,P8 delta std,T8 delta m,T8 delta std,FC6 delta m,FC6 delta std,F4 delta m,F4 delta std,F8 delta m,F8 delta std,AF4 delta m,AF4 delta std,AF3 theta m,AF3 theta std,F7 theta m,F7 theta std,F3 theta m,F3 theta std,FC5 theta m,FC5 theta std,T7 theta m,T7 theta std,P7 theta m,P7 theta std,O1 theta m,O1 theta std,O2 theta m,O2 theta std,P8 theta m,P8 theta std,T8 theta m,T8 theta std,FC6 theta m,FC6 theta std,F4 theta m,F4 theta std,F8 theta m,F8 theta std,AF4 theta m,AF4 theta std,AF3 alpha m,AF3 alpha std,F7 alpha m,F7 alpha std,F3 alpha m,F3 alpha std,FC5 alpha m,FC5 alpha std,T7 alpha m,T7 alpha std,P7 alpha m,P7 alpha std,O1 alpha m,O1 alpha std,O2 alpha m,O2 alpha std,P8 alpha m,P8 alpha std,T8 alpha m,T8 alpha std,FC6 alpha m,FC6 alpha std,F4 alpha m,F4 alpha std,F8 alpha m,F8 alpha std,AF4 alpha m,AF4 alpha std,AF3 beta m,AF3 beta std,F7 beta m,F7 beta std,F3 beta m,F3 beta std,FC5 beta m,FC5 beta std,T7 beta m,T7 beta std,P7 beta m,P7 beta std,O1 beta m,O1 beta std,O2 beta m,O2 beta std,P8 beta m,P8 beta std,T8 beta m,T8 beta std,FC6 beta m,FC6 beta std,F4 beta m,F4 beta std,F8 beta m,F8 beta std,AF4 beta m,AF4 beta std
10,1,0,good_profile,high_attention,high_attention,2517.695823,93.078730,2620.388953,105.228703,2584.829768,98.312919,2531.370941,102.341849,2494.003260,91.116212,2562.673307,59.065309,2553.934185,73.676293,2540.468166,85.000670,2538.041409,71.748291,2517.884980,104.300989,2578.384407,97.020049,2475.026780,101.785553,2435.775139,67.829110,2541.351836,83.616538,9.536155,0.361394,9.610768,0.306710,9.337252,0.260657,9.540569,0.265054,9.437689,0.294145,9.502206,0.417592,9.322342,0.266620,9.586945,0.382549,9.424140,0.290912,9.627352,0.316512,9.378007,0.326139,9.205895,0.303469,9.539672,0.342643,9.559899,0.345181,16.043327,0.431258,16.673378,0.567892,17.260262,0.735202,16.708232,0.495237,16.353327,0.599281,17.122129,0.601459,16.783020,0.596062,16.896748,0.515722,16.577461,0.648302,16.564989,0.562589,16.708317,0.533327,17.024956,0.429251,16.439298,0.555797,16.577533,0.599332,44.636215,1.533924,45.076904,1.218444,45.616635,1.256200,44.419889,1.057954,45.146688,1.259518,44.633939,1.523591,44.437500,1.019999,45.968018,1.692192,46.145333,1.594612,46.568910,1.225999,44.910008,1.483524,44.735478,1.212442,44.658447,1.775242,45.255952,1.056045
10,2,60,good_profile,high_attention,high_attention,2514.041252,86.574947,2593.240761,88.599216,2541.309201,95.425729,2558.623869,91.754121,2465.938465,101.226262,2566.296008,62.411754,2538.477659,67.035163,2537.639500,89.305440,2535.398919,66.408121,2479.035651,101.778246,2572.081854,66.985025,2481.353183,59.202260,2430.461981,90.565985,2568.114589,100.417889,9.457533,0.288640,9.532259,0.360654,9.340527,0.297230,9.513719,0.225918,9.465826,0.257802,9.621398,0.248121,9.361687,0.369674,9.778635,0.292625,9.511637,0.428366,9.537923,0.199333,9.314245,0.343362,9.141387,0.335963,9.617369,0.297875,9.678308,0.301585,16.561560,0.610292,16.917014,0.392387,17.359776,0.541554,16.848888,0.574602,16.424203,0.558836,17.421935,0.384422,16.819882,0.529754,16.934025,0.373521,17.002367,0.563450,16.665752,0.726732,16.744385,0.490287,16.938260,0.554719,16.520035,0.542273,16.704295,0.423249,44.319299,1.581786,44.957581,1.180796,45.048267,1.452133,44.127163,1.470439,44.877520,1.247849,44.754415,1.349164,44.852053,1.129589,45.951002,1.180738,45.483683,1.391201,45.974711,1.326213,45.461578,1.157988,44.233797,1.071706,44.368669,1.553789,45.640468,0.942425
10,3,120,good_profile,high_attention,high_attention,2503.662902,66.291982,2581.939060,76.094964,2551.690969,81.973070,2561.616570,115.093530,2492.271311,82.659855,2582.584008,103.462577,2510.738570,91.193828,2529.051911,88.692657,2529.691053,63.171851,2521.869294,86.762378,2604.391851,68.784086,2479.318388,108.224962,2416.980038,92.045907,2540.682796,64.351691,9.486630,0.202036,9.348666,0.257825,9.330429,0.238921,9.351507,0.313298,9.248374,0.306991,9.404713,0.272403,9.396390,0.274356,9.714165,0.282311,9.250916,0.281635,9.366545,0.310700,9.348560,0.191544,9.071101,0.333611,9.642969,0.338251,9.540100,0.363160,16.561785,0.513792,16.827636,0.311684,17.708760,0.519115,16.709331,0.508951,16.600743,0.559569,17.431831,0.655463,16.901872,0.629789,16.774565,0.543920,17.086354,0.456872,17.063751,0.423234,17.233747,0.455040,17.044200,0.361750,16.752771,0.461848,16.550711,0.472118,44.471051,1.420256,45.356007,1.318029,44.642200,1.725815,44.373468,1.329182,44.357421,1.306330,44.338544,1.410411,45.083146,1.628344,45.609266,1.557780,45.247146,1.285518,45.831016,1.266786,44.975642,1.520047,45.156863,1.506574,44.820334,1.699934,45.101065,1.131236
10,4,180,good_profile,high_attention,high_attention,2529.853423,94.546216,2596.102529,89.345252,2547.743728,89.685549,2533.479024,72.578278,2500.330839,73.520769,2612.841298,77.938099,2573.234881,88.341938,2548.700250,76.081366,2572.871670,89.534906,2534.710192,69.955230,2607.502245,71.521494,2538.050252,81.417430,2453.601064,82.146944,2553.368427,80.978365,9.692662,0.339151,9.593753,0.233082,9.459623,0.361071,9.444469,0.245778,9.395447,0.290694,9.625501,0.256002,9.520480,0.293428,9.576753,0.347053,9.463068,0.315842,9.500913,0.242757,9.443194,0.284009,9.164704,0.267823,9.731628,0.393067,9.659999,0.314088,16.435802,0.506204,16.989656,0.598812,17.690227,0.628585,16.983485,0.581584,16.320169,0.438309,16.984918,0.624976,16.714187,0.564635,16.902574,0.485968,16.844937,0.595335,16.973498,0.641765,16.948603,0.469763,16.992903,0.473869,16.591275,0.542873,17.058753,0.464409,44.260541,1.028051,44.601496,1.465879,44.204542,1.390414,44.108769,1.289852,44.620641,1.547341,44.149369,1.196934,44.303619,1.342443,45.287456,1.690599,45.232279,1.140365,45.863273,1.927127,45.279779,0.904185,44.397573,1.326387,44.364548,0.965541,45.065236,1.291547
10,5,240,good_profile,high_attention,high_attention,2531.768843,64.023009,2646.216980,80.192837,2606.629527,84.443747,2565.595501,92.738546,2501.072001,94.532548,2587.376156,81.770297,2533.861441,106.643476,2500.031707,87.459417,2579.684390,58.655699,2558.530139,68.729906,2585.629951,77.688750,2512.953715,66.644668,2435.035151,86.495108,2621.262743,90.199903,9.663437,0.254220,9.518198,0.340858,9.602532,0.273432,9.485518,0.389994,9.425911,0.320392,9.424466,0.318884,9.444312,0.345968,9.723608,0.404351,9.315459,0.304315,9.376465,0.342430,9.332619,0.263206,9.236309,0.253225,9.529785,0.245373,9.776971,0.277289,16.529979,0.558969,16.616527,0.616583,17.519211,0.643724,16.927826,0.560645,16.158273,0.464115,17.038127,0.461527,16.663741,0.441907,16.782938,0.424256,16.784880,0.544692,16.908591,0.499966,16.897007,0.471751,16.987924,0.435392,16.662497,0.638012,16.838767,0.366678,44.680809,1.655373,44.480736,1.483378,44.775427,1.443946,43.627015,1.296827,44.769611,1.256791,44.897736,1.183307,44.400646,1.649379,45.506295,1.244169,45.562234,1.091269,45.770739,1.717977,44.575303,1.426233,45.144373,1.352036,44.744345,1.229654,45.495870,1.026470
10,6,300,good_profile,high_attention,high_attention,2548.055655,83.770260,2678.573391,80.663598,2543.085431,90.373292,2544.443379,97.389808,2487.745973,92.553442,2577.282573,86.378865,2560.656710,47.929510,2512.732918,60.350591,2567.347043,71.509525,2541.884541,108.817969,2585.002237,62.772413,2493.880818,80.946090,2433.633866,79.934602,2558.083026,72.883176,9.628073,0.249927,9.520768,0.272961,9.439437,0.305988,9.468640,0.299349,9.656127,0.322274,9.643205,0.307634,9.444322,0.301166,9.650327,0.280721,9.726244,0.232351,9.547161,0.321258,9.344727,0.282798,9.265696,0.276231,9.740037,0.246569,9.689507,0.343718,16.405714,0.371818,16.642730,0.514084,17.404206,0.466695,16.565183,0.561051,16.049464,0.354617,16.910183,0.607789,16.777628,0.508799,16.676638,0.426084,16.764865,0.559403,16.798458,0.459384,16.758260,0.442019,16.942070,0.459447,16.203154,0.496261,16.714900,0.423700,43.958777,1.602653,44.340203,1.635193,44.442624,1.402593,44.093069,1.609105,44.723259,1.145253,44.767246,1.664748,44.596546,1.412319,44.234193,0.894069,45.637180,1.094179,45.646504,1.019845,44.320549,1.525809,45.035240,1.231519,44.942836,1.226137,45.200180,1.458767
10,7,360,good_profile,high_attention,high_attention,2531.931529,79.170194,2661.022531,71.906753,2517.472451,77.555194,2568.354141,74.662734,2508.015333,108.602748,2561.697741,96.295289,2532.086050,63.382490,2537.362519,69.240468,2538.044899,88.689480,2490.569598,81.070888,2543.605996,91.274858,2504.736770,63.711659,2411.992314,61.673005,2573.673612,93.148230,9.530152,0.241405,9.512714,0.313563,9.584108,0.323163,9.597452,0.370235,9.472627,0.315212,9.539659,0.280529,9.342096,0.376649,9.858491,0.222550,9.843686,0.353062,9.658603,0.385265,9.361778,0.380913,9.259024,0.256959,9.754150,0.311494,9.557282,0.275079,16.278388,0.492892,16.744723,0.567043,17.590851,0.434390,16.679568,0.578468,16.246516,0.510935,17.083187,0.577505,16.735556,0.558767,16.949423,0.442433,16.617076,0.449878,16.492988,0.346421,16.965499,0.480379,16.922028,0.377377,16.670443,0.489767,16.719498,0.656747,43.534438,1.504110,44.616501,1.266834,44.346778,1.428878,44.161653,1.319759,44.385014,1.534446,44.664598,1.242555,44.552688,1.105421,45.650565,1.093392,44.596507,1.424418,45.571208,1.464341,44.140630,1.177208,44.352934,1.442219,44.252127,1.240981,44.599678,1.118043
10,8,420,good_profile,high_attention,high_attention,2510.922762,80.071670,2627.379356,64.416095,2522.287574,85.226945,2534.922043,89.555512,2500.711135,109.792152,2606.096177,55.809625,2511.897295,81.713941,2518.723099,37.800412,2562.101304,76.611904,2473.611834,81.502533,2566.638312,98.580986,2514.174546,79.880432,2435.184493,73.235263,2553.029758,78.206433,9.517333,0.297691,9.556781,0.274932,9.494182,0.333146,9.467073,0.200222,9.583771,0.255387,9.581233,0.228368,9.363998,0.305147,9.744877,0.337939,9.693444,0.253804,9.585916,0.300190,9.257071,0.303024,9.094488,0.338120,9.707193,0.289301,9.603159,0.250261,16.154144,0.439339,16.587148,0.509984,17.029523,0.627618,16.465826,0.539821,16.207480,0.640270,17.040419,0.559524,16.780193,0.664660,16.767087,0.654778,17.006234,0.553072,16.661683,0.587730,16.617571,0.373595,16.657894,0.500812,16.418097,0.579263,16.494858,0.582059,44.136717,1.396491,43.595068,1.239381,44.676494,1.724889,43.911949,1.428286,44.157732,1.121399,44.612232,1.282853,45.026128,1.508392,45.670787,1.301370,44.671164,1.330196,46.003911,1.182873,44.580599,1.376305,44.625453,0.772545,44.769983,2.175491,43.823400,1.541489
10,9,480,good_profile,high_attention,high_attention,2545.936018,87.360875,2596.348290,101.008765,2547.729482,97.468699,2551.968717,66.399776,2471.184804,89.976251,2559.757130,87.205522,2520.228535,61.426395,2533.940234,80.326187,2545.719675,94.659608,2532.369047,78.550580,2574.552944,67.939585,2474.408296,89.380660,2434.829132,60.087202,2557.374083,83.020196,9.505281,0.286420,9.396314,0.293556,9.348496,0.361238,9.336353,0.280094,9.299132,0.375025,9.409177,0.321074,9.431147,0.325100,9.567269,0.398262,9.517068,0.358143,9.339266,0.274374,9.109518,0.361341,9.123940,0.287246,9.526020,0.345217,9.619774,0.317575,16.081523,0.563602,16.284108,0.498808,17.483184,0.621612,16.650360,0.574959,16.380656,0.479592,16.904214,0.428739,16.576227,0.625985,16.754760,0.561046,16.711980,0.485879,16.773399,0.579154,16.695200,0.456882,16.741252,0.400256,16.783691,0.461532,16.850453,0.401897,45.090553,2.125574,44.477085,1.483890,45.434505,1.337915,44.018197,1.293126,44.204401,1.480604,44.879804,1.473410,44.978061,1.405855,45.617864,1.299289,45.115020,1.286082,46.319776,1.633283,44.824757,1.366024,44.602548,1.631327,44.768375,1.308857,44.920719,1.384465
10,10,540,good_profile,high_attention,high_attention,2527.065450,63.876176,2602.928654,78.951601,2547.284250,87.469973,2548.203801,85.173948,2467.111472,82.095945,2577.044191,76.782199,2559.909706,75.777420,2548.393627,72.753709,2559.499508,72.530257,2507.747240,95.301547,2551.350169,78.468129,2508.066274,84.597914,2427.810924,71.439605,2535.938683,83.467104,9.607855,0.281281,9.407339,0.335671,9.408404,0.278132,9.412871,0.357337,9.315098,0.334481,9.378698,0.295128,9.367933,0.358288,9.658261,0.243062,9.638316,0.304250,9.426424,0.338562,9.227974,0.233309,9.301372,0.314404,9.726842,0.233576,9.740459,0.331277,15.842179,0.464498,16.360653,0.600965,17.506321,0.541527,16.499823,0.430744,15.821265,0.447562,17.033631,0.509359,16.259654,0.605909,16.377103,0.444537,16.514524,0.401867,16.684493,0.514678,16.636940,0.596890,16.394474,0.755547,16.343327,0.557965,16.401526,0.492105,44.708554,1.295263,44.673310,1.803864,44.643046,1.531588,44.760024,1.582438,45.055828,1.861338,45.235223,1.227709,44.615800,1.327037,46.166055,1.329328,45.684198,1.344415,46.254297,1.353099,44.626736,1.431261,43.873271,1.356655,45.049704,1.565026,45.215939,1.632106
