StudentID,SessionMinute,SimulatedTimeSec,ScenarioTemplate,Class,SimulationScenario,AF3 delta m,AF3 delta std,F7 delta m,F7 delta std,F3 delta m,F3 delta std,FC5 delta m,FC5 delta std,T7 delta m,T7 delta std,P7 delta m,P7 delta std,O1 delta m,O1 delta std,O2 delta m,O2 delta std,P8 delta m,P8 delta std,T8 delta m,T8 delta std,FC6 delta m,FC6 delta std,F4 delta m,F4 delta std,F8 delta m,F8 delta std,AF4 delta m,AF4 delta std,AF3 theta m,AF3 theta std,F7 theta m,F7 theta std,F3 theta m,F3 theta std,FC5 theta m,FC5 theta std,T7 theta m,T7 theta std,P7 theta m,P7 theta std,O1 theta m,O1 theta std,O2 theta m,O2 theta std,P8 theta m,P8 theta std,T8 theta m,T8 theta std,FC6 theta m,FC6 theta std,F4 theta m,F4 theta std,F8 theta m,F8 theta std,AF4 theta m,AF4 theta std,AF3 alpha m,AF3 alpha std,F7 alpha m,F7 alpha std,F3 alpha m,F3 alpha std,FC5 alpha m,FC5 alpha std,T7 alpha m,T7 alpha std,P7 alpha m,P7 alpha std,O1 alpha m,O1 alpha std,O2 alpha m,O2 alpha std,P8 alpha m,P8 alpha std,T8 alpha m,T8 alpha std,FC6 alpha m,FC6 alpha std,F4 alpha m,F4 alpha std,F8 alpha m,F8 alpha std,AF4 alpha m,AF4 alpha std,AF3 beta m,AF3 beta std,F7 beta m,F7 beta std,F3 beta m,F3 beta std,FC5 beta m,FC5 beta std,T7 beta m,T7 beta std,P7 beta m,P7 beta std,O1 beta m,O1 beta std,O2 beta m,O2 beta std,P8 beta m,P8 beta std,T8 beta m,T8 beta std,FC6 beta m,FC6 beta std,F4 beta m,F4 beta std,F8 beta m,F8 beta std,AF4 beta m,AF4 beta std
3,1,0,fatigue_profile,medium_attention,medium_attention,2393.622999,91.542685,2372.058828,80.275682,2320.319004,87.275341,2377.391381,94.548863,2332.486213,122.709549,2326.022473,98.687939,2401.445969,102.654351,2341.304555,69.449841,2367.144814,86.203833,2377.280126,101.305828,2378.673917,106.462152,2365.175334,76.035752,2369.933098,76.347064,2349.778426,141.436164,13.728299,0.516628,13.162264,0.720977,13.892736,0.467698,13.905363,0.656916,13.835264,0.493078,13.803262,0.475740,13.906191,0.809810,13.636814,0.507455,14.030889,0.786011,13.819769,0.589248,13.871135,0.422816,13.161237,0.669581,14.224546,0.488093,13.602565,0.366463,21.464399,0.965527,21.376254,0.957186,21.948341,0.588587,22.238949,1.190800,20.768773,1.020268,21.573537,1.111735,21.537682,0.921866,21.839668,0.912095,20.868668,0.985400,21.647133,0.837214,22.645784,0.929215,22.084830,1.033492,21.781634,1.070617,21.878005,0.943855,42.588122,2.149141,41.607532,1.953550,41.907859,2.110005,41.440689,1.598350,41.701941,2.043988,42.935970,1.768804,41.113488,1.584440,42.285497,1.402288,42.037149,1.753644,41.477738,2.052144,43.036513,1.698893,41.898923,2.312445,41.400800,1.957054,41.431393,1.547368
3,2,60,fatigue_profile,medium_attention,medium_attention,2463.518255,106.519394,2390.862251,75.723105,2362.404204,111.052205,2441.554567,86.312293,2349.136213,84.669315,2383.266575,119.383191,2385.809711,102.127755,2342.776373,105.977531,2380.545927,114.916271,2387.902111,124.120953,2391.180881,88.175341,2349.512411,71.867465,2410.540778,83.976260,2360.165410,100.516209,13.538106,0.635981,13.300742,0.488605,13.604547,0.533013,13.763963,0.643388,13.708027,0.581967,14.298870,0.483644,13.856525,0.636518,13.653824,0.517082,14.131194,0.653946,13.844176,0.504895,13.845177,0.566005,13.239743,0.567276,14.261556,0.606315,13.602144,0.578604,21.720059,0.809388,21.603281,1.008792,21.488260,0.708151,22.254567,0.846823,20.968306,0.849263,21.852930,0.957991,21.272438,0.569516,21.742772,0.996966,21.232127,0.904183,21.633192,1.185802,22.106185,0.728051,21.874107,0.828449,21.763688,1.144716,21.675218,0.756892,42.108483,2.382774,41.669933,1.563983,41.914648,1.721086,42.205601,1.415397,41.268370,1.925945,41.982318,1.820261,41.323665,1.930505,42.746351,1.435823,41.818113,2.098577,41.304814,1.570180,42.864290,2.029334,41.253483,1.409762,41.159962,1.405090,42.664426,1.249221
3,3,120,fatigue_profile,medium_attention,medium_attention,2401.937819,75.211022,2383.476046,97.084108,2363.729398,104.522133,2422.796169,105.543951,2349.968295,98.035711,2338.688215,99.710909,2433.897159,102.106871,2352.125727,116.900731,2388.867678,128.593411,2397.781254,112.279956,2367.139641,87.743790,2367.407643,89.603371,2351.203229,133.061217,2343.328364,113.496507,13.697229,0.504856,13.624960,0.579123,13.899259,0.472419,13.958546,0.556844,13.950917,0.681759,13.754354,0.531435,13.759877,0.591401,13.784778,0.514720,13.599473,0.664607,13.780229,0.730526,13.729648,0.757337,13.322324,0.627221,13.956110,0.499706,13.782437,0.531195,21.530685,0.832201,21.309940,0.868463,21.056770,0.730340,21.868793,0.725757,21.207182,0.922656,21.386651,0.932853,21.191291,1.332859,21.773363,0.913085,21.102409,0.795698,21.004015,0.857255,22.275587,0.654045,22.197585,0.922775,22.109585,1.032319,21.369167,1.105672,41.620154,2.311018,42.178380,1.635218,42.213148,1.452392,41.768936,1.444303,41.939454,1.459220,42.377788,1.409003,41.856704,1.619263,42.584303,1.297521,41.120246,1.444611,42.119004,2.116043,42.806622,1.741187,41.107493,1.732414,41.657636,1.403746,41.644378,1.771103
3,4,180,fatigue_profile,low_attention,low_attention,2453.422977,111.034508,2380.471327,118.979288,2418.966575,91.780071,2434.373568,81.211518,2382.240748,114.485651,2376.423602,98.824193,2481.389254,103.650162,2361.981998,121.954900,2390.037512,78.204708,2437.384085,75.364364,2418.228947,105.925593,2379.493750,85.806880,2431.902268,146.241382,2365.827483,91.667186,14.048029,0.608070,13.677933,0.623000,14.161870,0.657941,14.281618,0.548684,13.995299,0.778799,14.042243,0.466055,14.217163,0.385014,13.956504,0.701877,13.913752,0.676569,14.031457,0.532316,14.038512,0.414796,13.611606,0.567754,14.565777,0.399599,14.076470,0.440101,21.693046,1.014420,21.522130,0.807459,21.474875,1.125841,22.153474,0.796443,21.190316,0.947009,22.161838,0.890205,21.581645,0.767013,21.824280,0.962296,21.190125,0.822604,21.548577,0.708690,22.351924,0.966022,22.162490,1.016020,21.763334,0.892454,21.973335,0.892440,42.352471,1.963390,41.160254,1.656718,41.608143,1.935310,41.535522,1.585854,41.182641,1.885421,41.599681,2.285666,41.420881,1.633442,41.862554,2.058036,41.504404,1.810323,41.414310,1.626633,42.572900,1.886761,40.357998,1.762818,41.133744,1.871668,41.505325,1.251409
3,5,240,fatigue_profile,low_attention,low_attention,2425.769324,109.111310,2444.489864,73.957495,2382.602223,66.747690,2378.958787,85.283274,2349.064397,84.224999,2367.010779,94.526246,2421.752669,79.294941,2363.806139,103.702905,2375.246713,107.670232,2373.253804,98.393220,2366.033444,96.176210,2412.196275,117.207294,2407.379629,88.808444,2340.835410,89.989287,14.388519,0.664332,13.904783,0.597664,14.307639,0.635548,14.687127,0.573927,14.474505,0.703398,14.663385,0.740002,14.562878,0.693589,14.314641,0.798345,14.787269,0.493664,14.318892,0.574244,14.747728,0.624966,14.034181,0.490189,15.125723,0.662518,14.533054,0.587638,22.431598,0.726472,21.818553,0.942147,22.183498,1.101377,23.005692,0.722914,21.668557,0.921408,22.485612,1.112530,22.139959,0.924119,22.388576,1.078329,22.107538,1.051037,22.056458,0.891044,22.966486,0.857243,22.999304,1.060316,22.433783,0.968299,22.413374,1.015627,41.775830,1.377771,42.000177,1.270303,42.205498,1.995292,42.076851,1.768909,40.500397,1.608299,41.998167,2.154280,41.791895,2.124803,41.897670,2.058253,41.071811,1.880737,41.277507,1.684844,42.262052,1.647811,40.661700,1.503399,40.725035,1.663362,41.413313,1.488151
3,6,300,fatigue_profile,low_attention,low_attention,2417.699972,94.127309,2382.472105,119.436890,2353.112971,102.484934,2408.708996,84.674600,2308.212577,114.564911,2344.517178,124.662944,2446.564947,95.195560,2367.207172,112.302244,2427.835799,116.933481,2434.912032,104.721652,2386.712939,74.556402,2378.155652,79.423996,2363.187267,101.969348,2345.731982,117.691392,15.036421,0.526788,14.473491,0.564127,15.285383,0.558580,15.064225,0.691634,15.231726,0.789076,15.167525,0.624203,15.225904,0.634073,15.099518,0.471141,15.262461,0.498875,15.413435,0.574444,15.517594,0.733084,14.535955,0.594817,15.443676,0.722964,15.068000,0.640726,22.841306,0.872314,22.164171,0.943630,22.992803,0.740164,23.391677,0.909276,22.499247,1.112751,23.184104,0.994557,23.006522,1.043489,23.327727,1.046652,22.507390,1.246615,22.974692,1.075893,23.578525,0.693085,23.641622,0.967248,23.725427,0.954629,23.260752,0.775307,41.759412,1.894819,41.737345,1.658859,42.351501,1.679230,41.207200,1.425518,41.228921,1.380609,41.356894,1.449166,40.860139,1.266558,41.736744,1.692143,41.005235,1.857536,41.258894,1.683904,42.011377,2.005407,40.856695,1.967572,40.608948,1.349610,41.594117,1.854915
3,7,360,fatigue_profile,low_attention,low_attention,2432.008056,80.090295,2415.328483,101.917409,2353.322554,91.956941,2441.052196,93.831435,2351.264547,98.196809,2344.821842,73.428817,2421.723346,114.723084,2336.606037,99.091699,2415.998398,80.996878,2383.717940,118.555055,2399.276883,88.946726,2403.508695,100.494020,2386.664025,82.406840,2334.017764,72.964806,15.545440,0.550376,15.242441,0.807387,15.828535,0.684637,16.157354,0.673754,15.606636,0.606455,16.013949,0.845975,16.179863,0.861787,15.872537,0.621555,15.926013,0.603160,15.621401,0.571060,15.949331,0.550121,15.155299,0.422631,16.233682,0.596774,15.789420,0.689733,24.167562,1.265924,23.538936,1.271153,23.827137,0.963250,24.479288,0.960958,23.098213,0.949147,23.634423,0.982628,23.689405,0.894461,23.760251,0.999724,23.193590,0.955585,23.827640,0.911033,24.364008,1.247547,24.472829,1.194045,24.355225,0.853054,23.874885,0.780986,41.389924,1.292626,40.955751,1.596941,40.845048,1.328945,41.779371,2.056289,41.426471,2.024643,42.441575,2.225401,41.405900,1.739052,41.277859,1.730392,40.923936,1.462490,40.842183,2.203735,42.196503,1.912263,40.927341,1.538020,40.923301,1.867678,41.390207,1.930417
3,8,420,fatigue_profile,low_attention,low_attention,2417.635339,108.373489,2434.479855,114.285394,2426.762254,118.847332,2441.763401,78.307233,2360.897676,101.115652,2306.444718,110.872881,2391.042366,90.803968,2347.826218,115.517474,2384.715442,95.822031,2401.559616,114.266571,2375.139123,100.905781,2326.248039,94.010634,2364.999162,110.026896,2362.059849,95.373327,16.646978,0.603855,15.982785,0.696561,16.403469,0.694174,17.074317,0.798808,16.451132,0.952969,16.871915,0.618148,16.887714,0.672305,16.246906,0.747620,16.814378,0.595291,17.001284,0.781436,16.402667,0.853454,16.243840,0.726485,17.177755,0.893248,16.737891,0.419045,24.612872,0.824204,24.633644,0.857839,24.142302,0.667659,25.459714,1.094498,24.113101,0.932007,25.342791,1.283462,24.861913,1.107852,24.788901,1.233635,23.451848,0.853982,24.354693,0.795520,26.124709,1.065749,25.108637,1.061072,25.178599,0.839847,24.838178,1.169695,41.357285,1.445981,40.746132,1.776530,40.995429,1.603997,41.128515,2.019190,40.696743,2.443707,41.490984,1.930985,40.712344,1.902063,40.355647,1.909979,40.905960,2.006538,40.618790,1.444362,41.755958,2.196031,39.458908,1.360582,40.278477,2.207461,40.450777,1.635315
3,9,480,fatigue_profile,low_attention,low_attention,2434.144712,122.535805,2414.014465,69.301363,2397.385352,79.669164,2405.667589,93.918119,2358.678430,135.122200,2365.216267,81.392306,2403.819416,112.104399,2357.299902,102.659422,2432.105401,92.155402,2401.955616,77.548047,2385.371722,85.503331,2386.088954,90.161116,2362.528102,94.951486,2366.415114,99.379298,17.168640,0.618960,17.096651,0.932789,17.305766,0.812400,17.896538,0.736006,17.471694,0.678070,17.785456,0.741885,17.787356,0.720684,17.485607,0.651846,17.774271,0.865387,17.688075,0.646269,17.483991,0.578267,16.866746,0.808693,17.929806,0.814482,17.526126,0.601754,25.787197,1.201734,25.534685,0.931342,25.816593,0.785040,26.424230,0.940186,25.077675,1.334127,25.846616,1.062529,25.327210,0.868476,25.422857,0.909926,24.750794,1.206645,25.332288,1.271594,26.022458,1.393929,26.350885,0.884206,26.082140,0.963303,26.226691,1.152602,41.329956,1.725392,40.473003,1.291191,40.492379,1.392297,40.400631,1.672854,39.848272,1.685301,41.465319,2.029913,39.503748,1.527987,41.388872,1.691752,40.792968,1.185955,39.818542,1.898692,40.867891,1.686934,39.977526,1.911048,41.230840,1.489706,40.389110,1.719340
3,10,540,fatigue_profile,low_attention,low_attention,2403.555467,99.797549,2416.878337,92.417437,2338.398605,101.537431,2437.671372,126.251617,2335.660206,96.927512,2347.217470,106.105477,2376.371602,97.763716,2363.466510,106.412625,2400.894662,121.192629,2387.910791,83.499856,2402.279748,123.715533,2346.246411,77.127967,2367.880380,95.895455,2375.992630,85.779829,18.130020,0.856193,17.301465,0.592300,18.503745,0.708186,18.369309,0.575358,18.260944,0.747900,18.292109,0.726881,18.333084,0.873774,18.025907,0.733532,18.451522,0.512398,18.313633,0.814687,18.472204,0.635617,17.756944,0.603776,18.504728,0.707203,18.380750,0.703493,25.715402,1.331271,25.315585,1.160084,25.898783,1.234880,26.800182,0.992345,25.641190,1.153580,26.262066,1.050756,25.804294,1.023610,25.796080,1.308229,25.460014,1.348441,26.175861,0.720768,27.063721,0.794226,27.368738,0.847851,26.542602,1.076456,26.568674,0.903603,39.930240,1.622808,40.109746,1.389060,39.369195,1.378559,39.428888,1.461425,39.089881,1.762809,40.302525,1.632158,40.342137,1.805395,40.225540,1.460278,39.513911,1.698066,39.546160,1.590080,39.853553,2.070406,38.929315,1.708251,39.043034,1.659568,39.494099,1.285685
